agg_rank,ticker_0,ticker_1,corr,cointeg_pval
0,GS,BLK,0.8344,0.016
1,JPM,CRM,0.839,0.0265
2,INTC,C,0.8583,0.1598
3,WFC,UNP,0.7002,0.0293
4,HON,GS,0.6692,0.0188
5,HON,BLK,0.8017,0.2085
6,JPM,GS,0.7291,0.1579
7,WFC,AXP,0.7783,0.2241
8,WFC,GS,0.7102,0.1923
9,HON,C,0.7518,0.2875
10,C,BLK,0.7826,0.3438
11,UNP,AXP,0.6019,0.0896
12,WFC,MS,0.741,0.3116
13,UNP,GOOGL,0.6182,0.1671
14,INTC,FDX,0.6958,0.3102
15,C,BAC,0.7823,0.396
16,JPM,GOOGL,0.6336,0.236
17,INTC,BLK,0.6533,0.3091
18,MS,BLK,0.6939,0.3224
19,MS,GS,0.8352,0.5108
20,CRM,BLK,0.7509,0.4477
21,GOOGL,CRM,0.7629,0.4872
22,INTC,HON,0.5718,0.2677
23,GOOGL,AXP,0.6099,0.3435
24,WFC,GOOGL,0.5792,0.3128
25,GE,AAPL,0.6419,0.4203
26,GOOGL,BLK,0.5518,0.2925
27,JPM,FDX,0.621,0.4042
28,JPM,HON,0.5884,0.371
29,MS,HON,0.4874,0.1985
